id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,last_updated
bitcoin,btc,Bitcoin,74517,1491885246776,45124522860,-1.62868,2026-04-20T04:19:57.441Z
ethereum,eth,Ethereum,2284.15,275723491209,17307096217,-2.58377,2026-04-20T04:19:57.361Z
tether,usdt,Tether,1.0,187275077639,73618627773,-0.00341,2026-04-20T04:19:57.581Z
ripple,xrp,XRP,1.41,86757835793,2873667120,-1.64777,2026-04-20T04:19:57.506Z
binancecoin,bnb,BNB,621.27,83737758158,962986016,-0.50173,2026-04-20T04:19:57.573Z
usd-coin,usdc,USDC,0.999822,78238482141,14195893244,-0.0124,2026-04-20T04:19:57.824Z
solana,sol,Solana,84.43,48589099154,3800729437,-1.7288,2026-04-20T04:19:57.221Z
tron,trx,TRON,0.332164,31481774889,822292102,1.22098,2026-04-20T04:19:41.516Z
figure-heloc,figr_heloc,Figure Heloc,1.035,17465860329,9185860,0.0,2026-04-19T04:19:25.646Z
dogecoin,doge,Dogecoin,0.094145,14488154422,1752111596,-0.67569,2026-04-20T04:19:44.873Z
